src,dst,weight
1,13,0.955389
1,11,1.166705
1,6,0.898276
1,3,0.952330
1,4,1.330246
1,5,0.528828
1,15,1.191080
1,14,0.931838
1,7,0.706788
1,8,1.087047
1,12,0.965590
1,9,0.952395
1,10,0.686877
1,16,0.767369
2,1,0.740455
2,18,1.013572
2,19,0.887486
2,20,0.579521
2,21,0.966240
2,22,0.722384
2,23,1.206701
2,24,1.344795
2,25,0.861505
2,26,1.261233
2,27,1.356571
2,28,1.324570
2,29,0.881624
2,30,0.926809
2,31,1.148334
2,32,0.994306
2,33,1.323060
2,34,0.710176
2,35,1.062309
2,36,1.484283
2,37,1.474469
2,38,0.631001
2,39,0.500118
2,40,1.292270
2,41,0.529704
2,42,0.582607
2,43,1.403594
2,44,1.305320
2,45,1.218935
2,46,0.870270
2,47,1.130308
2,48,1.127890
2,49,0.756070
2,50,1.039877
2,51,0.795042
2,52,0.615243
2,53,0.800566
2,54,1.346981
2,55,0.959354
2,56,0.937519
2,57,0.651248
2,58,1.007426
2,16,1.294952
2,59,0.726935
2,60,1.446388
2,61,0.534948
2,62,1.113172
2,63,1.103577
2,64,1.182727
2,65,0.723683
2,66,1.239231
2,67,1.247440
2,68,1.108365
2,69,0.746247
2,70,0.930612
2,71,0.658185
2,72,1.018368
2,73,0.507272
2,74,0.546048
2,75,1.216658
2,76,0.527706
2,77,1.332532
2,78,0.619922
2,79,1.462757
2,80,0.882853
2,81,0.529904
2,82,1.345574
2,83,1.366942
2,84,1.408364
2,85,0.581849
2,86,0.656757
2,87,0.830580
2,88,1.333945
2,89,1.131029
2,90,1.156817
2,91,0.994797
2,92,0.878917
2,93,1.360224
2,94,1.156878
2,95,1.483181
2,96,1.386879
2,97,0.548611
2,98,0.976861
2,99,0.674415
2,100,0.977664
2,101,0.550695
2,102,0.564236
2,103,0.502773
2,104,0.644340
2,105,1.222401
2,106,0.611451
2,107,1.071508
2,108,1.145838
2,109,0.739337
2,110,0.657895
2,111,1.398585
2,112,1.310614
2,113,1.330063
2,114,1.223098
2,115,1.052295
2,116,0.624170
2,117,0.514461
2,118,1.342257
2,119,0.510446
2,120,0.841991
2,121,1.195017
2,122,0.962275
2,123,0.831364
2,124,1.195697
2,125,1.405980
2,126,1.150226
2,127,0.589832
2,128,1.454331
2,129,0.764548
2,130,1.443827
2,131,1.010208
2,132,0.868094
2,133,1.259390
2,134,1.005848
2,135,1.277802
2,136,1.237733
2,137,0.549370
2,138,0.929319
2,139,1.002386
2,140,0.814676
2,141,0.948619
2,142,1.000756
2,143,1.412605
2,144,1.159056
2,145,1.246609
2,146,0.927809
2,147,0.783504
2,148,0.958539
2,149,1.241665
2,150,1.026437
2,151,0.905351
2,152,0.930627
2,153,1.101046
2,154,0.987704
2,155,1.191078
2,156,1.449777
2,157,1.131290
2,158,1.125181
2,159,1.049852
2,160,1.438042
2,161,1.130428
2,162,1.434665
2,163,1.240685
2,164,1.312227
2,165,0.774320
2,166,1.439402
2,167,1.190672
2,168,1.011731
2,169,1.122314
2,170,1.333895
2,171,0.711118
2,172,0.770883
2,173,0.775065
3,1,1.101405
3,807726,1.334823
3,1381344,0.566873
4,1,0.871141
5,1,1.088651
5,178,0.850721
5,175,1.081523
5,179,0.881483
5,180,1.479889
5,182,1.033293
5,183,1.084880
5,174,1.213379
5,184,0.716659
5,185,0.520097
5,181,1.171167
5,176,0.762305
5,187,1.242456
5,188,0.743470
6,1,1.185354
6,48017,1.170629
6,307866,0.634718
6,320079,1.138247
6,620900,0.912316
7,1,0.888119
7,225,1.101745
7,217,1.447932
7,206,1.050969
7,203,0.926475
7,207,1.379902
7,194,0.524743
7,208,0.778449
7,204,0.644297
7,202,1.257600
7,193,1.073697
7,201,1.407792
7,211,1.432423
7,221,0.921929
7,21,1.144357
7,90,0.814186
7,13,0.533281
7,227,0.657832
7,191,1.330463
7,200,0.754428
7,199,1.330748
7,198,1.036019
7,205,1.103181
7,219,0.525831
7,212,0.936884
7,220,1.491499
7,192,1.483659
7,218,1.017831
7,213,1.130641
7,210,1.005605
7,209,0.622021
7,228,0.584617
7,224,0.642288
7,222,0.796682
7,229,0.535083
7,230,0.588171
7,231,0.606823
7,226,0.840401
7,214,1.006360
7,232,0.760015
7,233,0.945670
7,234,0.594325
7,235,0.709332
7,236,1.268778
8,1,1.116594
8,247089,0.991850
8,869832,0.501557
8,880477,0.590144
9,1,1.477226
9,350,1.137893
9,371,0.761712
9,373,0.626546
9,5056,0.905897
9,6899,0.750750
9,7145,1.135061
9,7839,0.719814
9,10739,0.657885
9,13411,0.581605
9,17818,0.874692
9,18132,1.108246
9,74533,0.779162
9,104743,1.408602
9,121505,0.574554
9,139927,0.821149
9,147289,1.106852
9,150049,0.603166
9,153188,1.263220
9,153189,1.302602
9,153181,0.614012
9,153250,1.099419
9,154989,1.237603
9,154991,0.611586
9,156756,0.618437
9,161175,0.581840
9,162067,0.822403
9,220348,0.513220
9,268609,1.296206
9,268618,1.186561
9,655717,1.133624
9,863419,1.366534
9,882339,1.118946
9,1013673,0.549871
9,1473438,0.838620
10,1,1.065044
10,286,0.925333
10,288,0.583718
10,285,0.515300
10,33,1.007438
10,241,0.552729
10,282,0.831910
10,283,0.759745
10,238,1.246243
10,190,0.734588
10,242,1.199786
10,268,0.707501
10,269,1.304462
10,253,0.686850
10,261,0.657321
10,290,0.884961
10,60,1.200113
10,251,1.352529
10,249,0.740048
10,250,0.667751
10,247,1.020453
10,244,0.621457
10,248,0.881846
10,245,1.195465
10,260,0.697901
10,277,0.790337
10,264,0.595173
10,258,0.571662
10,294,0.580839
10,295,0.838293
10,265,1.169825
10,275,0.883421
10,267,0.928257
10,262,1.043334
10,62,0.979131
10,293,1.362142
10,266,0.899823
10,291,0.587875
10,271,0.800815
10,272,0.891506
10,284,0.991341
10,259,0.634714
10,254,0.878407
10,273,1.091386
10,257,1.331704
10,279,1.274741
10,263,0.676238
10,274,0.732659
10,255,1.255124
10,270,1.007321
10,280,1.132492
10,278,0.653566
10,134,1.104040
10,276,0.756763
10,208,1.234911
10,296,0.901479
10,297,0.812807
10,298,0.502614
10,299,1.106353
10,300,1.397143
10,301,1.459479
10,302,0.547905
10,303,0.601767
10,304,0.801802
10,305,0.767772
10,236,1.254710
11,1,0.547137
11,310,0.992578
11,309,1.070575
11,308,0.793566
11,313,0.905216
11,316,0.654215
11,333,1.335660
11,331,0.551700
11,319,0.721518
11,322,1.001456
11,320,1.373942
11,307,0.594122
11,221,0.579251
11,332,0.711574
11,306,0.682209
11,315,0.790208
11,314,1.460556
11,324,0.770988
11,323,1.187377
11,336,0.991864
11,334,1.044448
11,335,0.636864
11,321,0.553149
11,327,1.101600
11,213,1.086839
11,330,1.220106
11,326,0.904157
11,325,1.052498
11,318,1.314472
11,328,0.752477
11,317,1.366547
11,338,1.314505
11,337,1.191020
11,311,1.439414
11,339,1.444647
11,312,0.969160
11,340,1.390093
11,341,1.030523
11,342,0.775180
11,343,0.679430
11,344,1.409397
11,345,1.270462
11,346,1.104732
11,347,0.751245
11,348,1.431245
12,1,0.709452
12,349,0.630001
12,350,1.487162
12,351,0.503701
12,352,1.314007
12,353,1.275418
12,354,1.156865
12,355,1.123616
12,356,1.350143
12,357,1.226422
12,358,1.030778
12,359,0.805209
12,360,0.567898
12,361,0.901673
12,362,1.146543
12,363,1.455451
12,364,1.171090
12,365,0.888011
12,366,1.110628
12,367,1.400290
12,368,0.839955
12,369,1.155138
12,370,1.189234
12,371,1.150371
12,372,1.315454
12,373,0.768699
12,374,0.887222
12,375,0.577909
12,376,1.236429
12,377,0.730018
12,378,1.015394
12,379,0.732927
12,380,1.267753
12,381,0.685095
12,382,0.723541
12,383,1.446271
12,384,0.734616
12,385,1.059401
12,386,0.941714
12,387,0.832643
12,388,0.680343
12,389,0.534983
13,1,0.799659
13,7,0.896602
13,392,1.123191
13,407,0.999071
13,408,0.962522
13,396,0.508435
13,397,0.655350
13,398,1.499126
13,411,0.783854
13,399,0.601308
13,412,0.733349
13,402,0.864586
13,403,0.797691
13,404,1.277041
13,413,0.589236
13,405,1.108434
13,9090,0.580443
13,10150,0.683539
13,159316,1.439360
14,1,1.150136
14,350,1.121065
14,371,0.571609
14,373,1.198590
14,5056,1.111706
14,7714,1.430463
14,9814,0.594413
14,18125,1.308085
14,18132,1.312245
14,99843,0.513334
14,122795,1.252638
14,138783,1.231876
14,184377,1.278307
14,219725,0.859387
14,237918,1.385722
14,516321,1.287364
14,646203,0.762366
14,1482970,0.805424
15,1,0.682821
15,11148,0.704378
15,223368,0.834021
15,260178,1.437054
16,2,1.443368
16,423,0.600484
16,424,0.927855
16,425,1.113773
16,426,1.202154
16,427,0.907635
16,428,1.259415
17,10,1.021875
17,435,1.052997
17,436,0.558629
17,437,1.050600
17,438,0.879339
17,439,0.657573
17,261,1.042127
17,440,1.280397
17,441,0.692447
17,442,0.856205
17,443,0.729354
17,444,1.171799
17,445,1.058226
17,446,1.487722
17,447,1.032533
18,451,0.738274
18,46,1.329609
18,40,1.451377
18,461,0.815398
18,91,1.488124
18,2,1.220229
18,22,1.338191
18,43,1.460516
18,416,0.762990
18,462,1.406790
18,450,0.938087
18,455,0.868523
18,106,0.739034
18,459,1.198169
18,460,1.149106
18,465,1.246631
18,92,0.567516
18,463,1.316612
18,29,0.870613
18,464,0.846813
18,448,1.087084
18,453,1.141966
18,452,0.504281
18,163,1.072827
18,456,0.658614
18,57,1.206817
18,56,1.410131
18,54,0.635317
18,466,1.443252
18,124,0.834430
18,155,0.514662
18,139,0.969468
18,153,0.978518
18,159,1.145938
18,162,0.721080
18,467,0.604538
18,468,0.580365
18,469,0.774159
19,542,0.873128
19,576,1.480217
19,57,0.513245
19,634,1.028172
19,503,0.916663
19,499,1.451733
19,629,1.267057
19,610,1.211456
19,630,1.012156
19,616,1.315172
19,568,0.520242
19,553,0.788877
19,571,1.107823
19,622,1.093458
19,618,0.715514
19,577,0.832435
19,578,1.167100
19,549,1.321735
19,60,0.920162
19,575,0.556185
19,520,1.070285
19,591,0.801815
19,570,0.911238
19,515,1.192142
19,556,0.725879
19,579,1.282236
19,550,1.359926
19,163,0.534080
19,547,0.939912
19,584,0.510087
19,509,0.744369
19,495,1.395002
19,545,1.102487
19,489,0.732575
19,609,1.399757
19,564,1.246050
19,516,0.974425
19,513,0.514473
19,524,1.057257
