database,workload,count,min,p50,p95,p99,max,mean,successful,failed,concurrency,load_wall_ms,nodes_per_second,relationships_per_second
arango_docker,ingest,150000,,,,,,,74062,0,,6583.439000067301,11249.74348501488,22784.444421595854
arango_docker,mixed_read_write_qps,100,,,,,,226.24234765976018,100,0,10,,,
arango_docker,aggregation,100,53.8727,56.7994,60.2709,61.5595,62.1875,57.127407999999996,100,0,,,,
arango_docker,indexed_lookup,100,43.3808,47.5644,49.0471,51.4975,52.3976,46.881629999999994,100,0,,,,
arango_docker,mixed_read_write,100,7.703099981881678,212.0110000250861,404.62249994743615,411.6996000520885,431.86149990651757,210.72874799720012,100,0,10,,,
arango_docker,point_lookup,100,42.5806,44.0796,47.1874,47.8525,48.2848,44.446656999999995,100,0,,,,
arango_docker,traversal_1hop,100,42.9406,43.982,47.6416,48.0538,56.6658,44.444534999999995,100,0,,,,
arango_docker,traversal_2hop,100,42.9641,43.982,46.6304,50.7661,82.5234,44.681335,100,0,,,,
arango_docker,traversal_3hop,100,42.5928,43.9811,47.6903,122.608,141.1057,46.796965,100,0,,,,
cognodb,ingest,150000,,,,,,,74062,0,,28765.28019993566,2574.7011496229284,5214.619811015626
cognodb,mixed_read_write_qps,100,,,,,,25.340491312189922,100,0,10,,,
cognodb,aggregation,100,342.8659,398.0639,473.4536,481.122,484.6772,403.380545,100,0,,,,
cognodb,indexed_lookup,100,274.4876,281.3981,318.1941,330.4615,336.2709,284.443665,100,0,,,,
cognodb,mixed_read_write,100,261.85799995437264,2567.7504000486806,3748.0417999904603,3878.4548999974504,3937.2901999158785,2545.247045002179,100,0,10,,,
cognodb,point_lookup,100,261.7119,263.0641,264.9137,267.0514,268.4019,263.384877,100,0,,,,
cognodb,traversal_1hop,100,262.0745,263.4201,266.143,268.573,281.1753,263.820928,100,0,,,,
cognodb,traversal_2hop,100,261.6252,263.447,267.801,275.5547,397.6589,265.29170999999997,100,0,,,,
cognodb,traversal_3hop,100,261.9266,263.8215,281.3903,561.3309,677.3919,276.232327,100,0,,,,
falkordb_docker,ingest,150000,,,,,,,74062,0,,155260.65790001303,477.01717229419125,966.1172510076515
falkordb_docker,mixed_read_write_qps,100,,,,,,1260.436412923551,100,0,10,,,
falkordb_docker,aggregation,100,6.7891,7.7964,56.3459,60.4993,83.4321,15.212346,100,0,,,,
falkordb_docker,indexed_lookup,100,1.2142,1.4879,1.9962,33.3832,34.0952,2.1731190000000002,100,0,,,,
falkordb_docker,mixed_read_write,100,3.29949997831136,13.757699984125793,69.70720004756004,70.32390008680522,70.53869997616857,31.978737006429583,100,0,10,,,
falkordb_docker,point_lookup,100,0.4763,0.5787,0.7606,0.8659,0.9513,0.610373,100,0,,,,
falkordb_docker,traversal_1hop,100,0.5294,0.6283,0.8106,1.0058,1.0339,0.649328,100,0,,,,
falkordb_docker,traversal_2hop,100,0.493,0.6065,0.8558,1.1135,3.1216,0.6590940000000001,100,0,,,,
falkordb_docker,traversal_3hop,100,0.4844,0.6285,0.9842,3.9161,4.1151,0.766974,100,0,,,,
memgraph_docker,ingest,150000,,,,,,,74062,0,,4520.139200030826,16384.89363325247,33184.818732789696
memgraph_docker,mixed_read_write_qps,100,,,,,,951.193320195264,100,0,10,,,
memgraph_docker,aggregation,100,14.8156,16.8812,66.2147,67.0652,90.6834,31.831424000000002,100,0,,,,
memgraph_docker,indexed_lookup,100,3.7593,5.538,49.2464,50.7062,252.0331,11.809811,100,0,,,,
memgraph_docker,mixed_read_write,100,7.564399973489344,78.34740006364882,95.54210002534091,95.94449994619936,96.04229999240488,70.35549499560148,100,0,10,,,
memgraph_docker,point_lookup,100,0.4947,0.5484,0.7232,1.1584,1.3406,0.578936,100,0,,,,
memgraph_docker,traversal_1hop,100,0.5041,0.6211,1.2273,3.905,5.5896,0.7907129999999999,100,0,,,,
memgraph_docker,traversal_2hop,100,0.5001,0.5619,0.7372,0.9885,2.1607,0.605792,100,0,,,,
memgraph_docker,traversal_3hop,100,0.4903,0.6298,1.3249,4.6257,4.8019,0.811095,100,0,,,,
neo4j_docker,ingest,150000,,,,,,,74062,0,,36516.14810002502,2028.198587570885,4107.771706619221
neo4j_docker,mixed_read_write_qps,100,,,,,,43.82054121322195,100,0,10,,,
neo4j_docker,aggregation,100,10.1441,15.1413,101.611,112.2112,115.9145,42.950568000000004,100,0,,,,
neo4j_docker,indexed_lookup,100,2.1406,2.6758,55.9137,68.5955,73.4121,7.0033389999999995,100,0,,,,
neo4j_docker,mixed_read_write,100,77.59260002058,1773.3018000144511,2269.498899928294,2274.63150001131,2274.7105000307783,1664.640226002084,100,0,10,,,
neo4j_docker,point_lookup,100,1.5977,2.1795,6.3028,58.5564,74.5185,5.0854289999999995,100,0,,,,
neo4j_docker,traversal_1hop,100,3.064,4.2139,80.4276,84.1764,84.312,14.851942999999999,100,0,,,,
neo4j_docker,traversal_2hop,100,2.126,3.12,71.4843,78.6962,82.5844,10.83135,100,0,,,,
neo4j_docker,traversal_3hop,100,1.7719,2.8272,76.5807,85.702,102.978,12.110430999999998,100,0,,,,
